date,winner_td,loser_td,round_str,odds_winner,odds_loser,year,round_number
2023-05-28,Khachanov K.,Lestienne C.,1st Round,1.02,21.0,2023,1
2023-05-28,Hurkacz H.,Goffin D.,1st Round,1.36,3.2,2023,1
2023-05-28,Ofner S.,Cressy M.,1st Round,1.3,3.5,2023,1
2023-05-28,Griekspoor T.,Martinez P.,1st Round,2.1,1.73,2023,1
2023-05-28,Albot R.,Kypson P.,1st Round,1.36,3.2,2023,1
2023-05-28,Kokkinakis T.,Evans D.,1st Round,2.0,1.8,2023,1
2023-05-28,Fucsovics M.,Grenier H.,1st Round,1.2,4.5,2023,1
2023-05-28,Tsitsipas S.,Vesely J.,1st Round,1.02,19.0,2023,1
2023-05-28,Kubler J.,Diaz Acosta F.,1st Round,2.3,1.62,2023,1
2023-05-28,Borges N.,Isner J.,1st Round,1.4,3.0,2023,1
2023-05-28,Korda S.,Mcdonald M.,1st Round,1.5,2.63,2023,1
2023-05-28,Arnaldi M.,Galan D.E.,1st Round,1.44,2.75,2023,1
2023-05-28,Carballes Baena R.,Nava E.,1st Round,1.25,4.0,2023,1
2023-05-28,Musetti L.,Ymer M.,1st Round,1.2,4.5,2023,1
2023-05-28,Rublev A.,Djere L.,1st Round,1.22,4.33,2023,1
2023-05-28,Moutet C.,Cazaux A.,1st Round,1.8,2.0,2023,1
2023-05-28,Sonego L.,Shelton B.,1st Round,1.4,3.0,2023,1
2023-05-28,Shevchenko A.,Otte O.,1st Round,1.4,3.0,2023,1
2023-05-28,Humbert U.,Mannarino A.,1st Round,1.22,4.33,2023,1
2023-05-28,Pouille L.,Rodionov J.,1st Round,1.73,2.1,2023,1
2023-05-29,Shapovalov D.,Nakashima B.,1st Round,2.1,1.73,2023,1
2023-05-29,Norrie C.,Paire B.,1st Round,1.11,6.5,2023,1
2023-05-29,Schwartzman D.,Zapata Miralles B.,1st Round,2.1,1.73,2023,1
2023-05-29,Varillas J.P.,Shang J.,1st Round,1.57,2.38,2023,1
2023-05-29,De Minaur A.,Ivashka I.,1st Round,1.29,3.75,2023,1
2023-05-29,Etcheverry T.,Draper J.,1st Round,1.67,2.2,2023,1
2023-05-29,Karatsev A.,Popyrin A.,1st Round,1.67,2.2,2023,1
2023-05-29,Bautista Agut R.,Wu Y.,1st Round,1.4,3.0,2023,1
2023-05-29,Fognini F.,Auger-Aliassime F.,1st Round,3.2,1.36,2023,1
2023-05-29,Wawrinka S.,Ramos-Vinolas A.,1st Round,1.36,3.2,2023,1
2023-05-29,Daniel T.,O Connell C.,1st Round,2.2,1.67,2023,1
2023-05-29,Djokovic N.,Kovacevic A.,1st Round,1.01,29.0,2023,1
2023-05-29,Tirante T.A.,Van De Zandschulp B.,1st Round,4.5,1.2,2023,1
2023-05-29,Coric B.,Coria F.,1st Round,1.13,6.0,2023,1
2023-05-29,Cachin P.,Thiem D.,1st Round,2.2,1.67,2023,1
2023-05-29,Giron M.,Medjedovic H.,1st Round,2.1,1.73,2023,1
2023-05-29,Lehecka J.,Struff J.L.,1st Round,2.3,1.62,2023,1
2023-05-29,Davidovich Fokina A.,Fils A.,1st Round,1.36,3.2,2023,1
2023-05-29,Alcaraz C.,Cobolli F.,1st Round,1.02,21.0,2023,1
2023-05-29,Altmaier D.,Huesler M.A.,1st Round,1.36,3.2,2023,1
2023-05-29,Tiafoe F.,Krajinovic F.,1st Round,1.2,4.5,2023,1
2023-05-29,Zhang Zh.,Lajovic D.,1st Round,2.5,1.53,2023,1
2023-05-29,Van Assche L.,Cecchinato M.,1st Round,1.8,2.0,2023,1
2023-05-29,Sinner J.,Muller A.,1st Round,1.03,15.0,2023,1
2023-05-30,Paul T.,Stricker D.,1st Round,1.33,3.4,2023,1
2023-05-30,Jarry N.,Dellien H.,1st Round,1.2,4.5,2023,1
